date,speaker,text
2021-10-05,Holden Karnofsky,"I mean, one example is just we're the largest funder in the world of farm animal welfare. That's both attempts to develop alternative foods that can reduce meat consumption, but also corporate campaigns to try and put pressure for better treatment of animals. Over the last few years, basically, every major grocer and fast food company in the U.S. has pledged to go cage free. We've been funding a lot of the work that led to that that was already going when we came, but we've tried to speed it up. And we've also taken that work global and been funding a lot of corporate campaigns globally. And so, while we are a fairly large philanthropy, we're not the largest, but we're the largest funder of that work because that's one of these things where I think we might look back hundreds of years from now and say, that was the greatest moral issue of our time. That was this unacceptable treatment of these creatures we've now decided are kindred creatures that we should care about. But at this time, this is just not an issue that really tends to fire many people up. And so, we're doing something others won't do. And I believe there's been a lot of impact and there's been a lot of difference made because we're willing to go into kind of a weird cause. Some other examples, I think we were the first major institutional funder of the YIMBY movement. This is the attempt to advocate for less restrictions on building housing to make housing more affordable. And this is, again, just something that was kind of new and weird and has now become a nationwide movement. And that was not how it was when we started funding it. We funded macroeconomic stabilization policy. So this is a bit of a wonky one, but how does the Federal Reserve prioritize full employment versus controlling inflation? We believe that this is one of the most important things in the whole world for the welfare and bargaining power of the working class. And yet, it's an issue that people often ignore. They think of it as a technocratic issue. Whatever, the experts at the Federal Reserve will decide what to do. They don't see it as an area for philanthropy. And I think we are one of the only philanthropists in that area when we came in and still now. But I think it's tremendously important and we funded a lot of analysis and even advocacy on how to trade off full employment and controlling inflation. A final example is we've had a biosecurity and pandemic preparedness program since about 2015. And I'm certainly not going to say I've been happy with the preparation response for COVID. But I think it could have been worse. And I think the organizations that have played important roles, by the time we all knew about COVID, it was too late to come in and support them for years and help them be in a solid position and build up a deep bench in a lot of expertise. And it was back when that was kind of an unusual cause for philanthropy to be in that we were supporting all that work."
2021-10-05,Ezra Klein,"Let me ask about a couple of these, though. Macroeconomic stabilization is an interesting one because one way of asking that question is, why do you think you all understand macroeconomic stabilization better than the Fed and others? You're a young organization. You're a young guy. You're not an economist, nor most of the people who work for you. A lot of people worked on this for a long time. You're coming in and saying there's a huge untapped opportunity here. I would understand for a very explicitly political organization to come in and say, oh, we think the Fed has gotten it wrong. We want more full employment. But what is the difference you have convinced yourself you can make on it?"
2021-10-05,Holden Karnofsky,"Well, it's important to understand the general structure of Open Philanthropy is that we consider our expertise in finding causes that are important, neglected and tractable. Tractable means there's something for us to do. And so we try and find the right problems to work on. That's what we consider our comparative advantage. And then when we are doing work, we are hiring and we are funding experts. And so, this is not about Holden going and learning all about macroeconomic policy and then going and explaining to the Federal Reserve that they've got it wrong. That's not what happened. We funded groups that have their own expertise, that are part of the debate going on. There are experts on both sides. But we funded a particular set of values that says full employment is very important if you kind of value all people equally and you care a lot about how the working class is doing and what their bargaining power is. And historically, the Federal Reserve has often had a bit of an obsession with controlling inflation that may be very related to their professional incentives. And so we do have a point of view on when there's a debate among experts, which ones are taking the position they're taking, because that's what you would do if you were valuing everyone and trying to help everyone the most, versus which you're taking position for some other reason. So we didn't roll our own macroeconomic policy insights. We funded experts, we funded think tanks. But we do have a point of view on what kind of values should be driving that expertise."
2021-10-05,Ezra Klein,"I think something striking about that list is the sheer diversity of things you all fund. Not only in terms of causes but categories of causes. And this gets to what I think of as one of the most interesting things Open Philanthropy does, which is the way you intentionally divide up your giving portfolio into buckets based on really different ethical, arguably even metaphysical, assumptions. So tell me about worldview diversification."
2021-10-05,Holden Karnofsky,"I need to start with the broader debate that worldview diversification is a part of. At Open Philanthropy, we like to consider very hardcore theoretical arguments, try to pull the insight from them, and then do our compromising after that. And so, there is a case to be made that if you're trying to do something to help people and you're choosing between different things you might spend money on to help people, you need to be able to give a consistent conversion ratio between any two things. So let's say you might spend money distributing bed nets to fight malaria. You might spend money getting children treated for intestinal parasites. And you might think that the bed nets are twice as valuable as the dewormings. Or you might think they're five times as valuable or half as valuable or 1/5 or 100 times as valuable or 1/100. But there has to be some consistent number for valuing the two. And there is an argument that if you're not doing it that way, it's kind of a tell that you're being a feel-good donor, that you're making yourself feel good by doing a little bit of everything, instead of focusing your giving on others, on being other-centered, focusing on the impact of your actions on others, which you can get from there to an argument that you should have these consistent ratios. So with that backdrop in mind, we're sitting here trying to spend money to do as much good as possible. And someone will come to us with an argument that says, hey, there are so many animals being horribly mistreated on factory farms and you can help them so cheaply that even if you value animals at 1 percent as valuable as humans to help, that implies you should put all your money into helping animals. On the other hand, if you value them less than that, let's say you value them a millionth as much, you should put none of your money into helping animals and just completely ignore what's going on factory farms, even though a small amount of your budget could be transformative. So that's a weird state to be in. And then, there's an argument that goes, but even more than that — and this idea is called long-termism — if you can do things that can help all of the future generations, for example, by reducing the odds that humanity goes extinct. Then you're hoping even more people. And that could be some ridiculous comic number that a trillion, trillion, trillion, trillion, trillion lives or something like that. And it leaves you in this really weird conundrum, where you're kind of choosing between being all in on one thing and all in on another thing. And Open Philanthropy just doesn't want to be the kind of organization that does that, that lands there. And so we divide our giving into different buckets. And each bucket will kind of take a different worldview or will act on a different ethical framework. So there is bucket of money that is kind of deliberately acting as though it takes the farm animal point really seriously, as though it believes what a lot of animal advocates believe, which is that we'll look back someday and say, this was a huge moral error. We should have cared much more about animals than we do. Suffering is suffering. And this whole way we treat this enormous amount of animals on factory farms is an enormously bigger deal than anyone today is acting like it is. And then there'll be another bucket of money that says, animals? That's not what we're doing. We're trying to help humans. And so you have these two buckets of money that have different philosophies and are following it down different paths. And that just stops us from being the kind of organization that has stuck with one framework, stuck with one kind of activity."
2021-10-05,Ezra Klein,"Before we move on, I want to unpack this a little bit more. So let's focus in on animals for a minute. You alluded to the fact that even if you assign a very low moral worth to animals or to their suffering, 1 percent or 0.1 percent of that of a human, that it ends up adding up to quite a lot. Can you run through that math for me and its implications?"
2021-10-05,Holden Karnofsky,"Well, the math would be that — I mentioned before that if you're distributing insecticide treated bed nets, you might avert the death of someone from malaria for a few thousand dollars, which is pretty amazing. And it's going to be very hard to find better than that when you're funding charities that help humans. However, with the farm animal work, for example, the cage free pledges, we kind of estimated that you're getting several chickens out of a cage for their entire lives for every $1 that you spend. And so this is not an exact equivalence, but if you start to try to put numbers side by side, you do get to this point where you say, yeah, if you value a chicken 1 percent as much as a human, you really are doing a lot more good by funding these corporate campaigns than even by funding the bed nets. And that's better than most things you can do to help humans. Well, then, the question is, OK, but do I value chickens 1 percent as much as humans? 0.1 percent? 0.01 percent? How do you know that?And one answer is we don't. We have absolutely no idea. The entire question of what is it that we're going to think 100,000 years from now about how we should have been treating chickens in this time, that's just a hard thing to know. I sometimes call this the problem of applied ethics, where I'm sitting here, trying to decide how to spend money or how to spend scarce resources. And if I follow the moral norms of my time, based on history, it looks like a really good chance that future people will look back on me as a moral monster. But one way of thinking, just to come back to the chickens question, one way of thinking about it is just to say, well, if we have no idea, maybe there's a decent chance that we'll actually decide we had this all wrong, and we should care about chickens just as much as humans. Or maybe we should care about them more because humans have more psychological defense mechanisms for dealing with pain. We may have slower internal clocks. A minute to us might feel like several minutes to a chicken. So if you have no idea where things are going, then you may want to account for that uncertainty, and you may want to hedge your bets and say, if we have a chance to help absurd numbers of chickens, maybe we will look back and say, actually, that was an incredibly important thing to be doing."
2021-10-05,Ezra Klein,"I want to note something here because I think it's both an important point substantively but also in what you do. So I'm vegan. Except for some lab-grown chicken meat, I've not eaten chicken in 10, 15 years now — quite a long time. And yet, even I sit here, when you're saying, should we value a chicken 1 percent as much as a human, I'm like, ooh, I don't like that. To your point about what our ethical frameworks of the time do and that possibly an open-field comparative advantage is being willing to consider things that we are taught even to feel a little bit repulsive considering, how do you think about those moments? How do you think about the backlash that can come? How do you think about when maybe the mores of a time have something to tell you within them, that maybe you shouldn't be worrying about chicken when there are this many people starving across the world? How do you think about that set of questions?"
2021-10-05,Holden Karnofsky,"I think it's a tough balancing act because on one hand, I believe there are approaches to ethics that do have a decent chance of getting you a more principled answer that's more likely to hold up a long time from now. But at the same time, I agree with you that even though following the norms of your time is certainly not a safe thing to do and has led to a lot of horrible things in the past, I'm definitely nervous to do things that are too out of line with what the rest of the world is doing and thinking. And so we compromise. And that comes back to the idea of worldview diversification. So I think if Open Philanthropy were to declare, here's the value on chickens versus humans, and therefore, all the money is going to farm animal welfare, I would not like that. That would make me uncomfortable. And we haven't done that. And on the other hand, let's say you can spend 10 percent of your budget and be the largest funder of farm animal welfare in the world and be completely transformative. And in that world where we look back, that potential hypothetical future world where we look back and said, gosh, we had this all wrong — we should have really cared about chickens — you were the biggest funder, are you going to leave that opportunity on the table? And that's where worldview diversification comes in, where it says, we should take opportunities to do enormous amounts of good, according to a plausible ethical framework. And that's not the same thing as being a fanatic and saying, I figured it all out. I've done the math. I know what's up. Because that's not something I think."
2021-10-05,Ezra Klein,"I'm struck by that. I really like worldview diversification as a way of thinking about things. And I think it's also relevant as an individual practice. Something I see in my travels around the world, the internet, is people are very intent. Even if they would not say they are 100 percent confident in their worldview, their political ideology, their whatever, they are really interested in making it dominant against all comers. So, just tell me a bit about organizationally, intellectually, the discipline of maintaining a certain level of agnosticism between worldviews whose differences you can't really answer."
2021-10-05,Holden Karnofsky,"So one of my obsessions is applied epistemology, which is like just having good systems for figuring out what your beliefs are in kind of an overwhelming flow of information that is today's world. And I think one of the tools that some people use for it that I find really powerful and I'm going to write about is what I call the Bayesian mind-set, which is this idea that when you're uncertain about something, you can always portray your uncertainty as a number. And you can portray it as a probability. There's thought experiments. There's tools for doing this. You can say, instead of something is true or false, that it's 30 percent. And you can look back later and you can see if things that you said were 30 percent likely come through 30 percent of the time. I think this is a very powerful framework. And using it can often get you out of the headspace of believing that things are true or false and just having degrees of belief in everything and often taking something very seriously, even when you think it probably won't happen, just because it's important enough and it has a high enough probability that it deserves your attention. And on the other hand, I think this framework sometimes can take people back into a state of fanaticism, where you might say, hey, here's something that would be a really huge deal. And it's at least 1 percent likely. So that means it should be the only thing I think about. It should be my obsession. It's like the examples I was giving before. And that, I think, just lands you in a similarly dogmatic place. And so, Open Philanthropy is kind of operating two levels of uncertainty. It's often using this Bayesian mindset. But when the Bayesian mindset brings you to this implication that you'll have to be all in on one thing or another, we'll say no to that, too. And then we'll just go to another level of diversification. And we'll have different buckets with different philosophies on the world."
2021-10-05,Ezra Klein,"I want to pick up on the fanaticism component. And I'm not accusing anybody here of fanaticism. But one of my critiques of the effective altruist world is that it can get very obsessed by that conversion number you were talking about a minute ago. And in particular, I think, it's a culture as it has matured a bit more. There's now an aesthetic, sometimes, of being willing to take the most hard-hearted logic experiment seriously and show that you're the real effective altruist because even though it sounds like a kind of terrible thing to do, you ran the math, and it's not. And the way I'll put this is, Will MacAskill, who's a philosopher and was a founder of the effective altruist movement, used to have this thought experiment where there's a building on fire. And there's a family in one room who could die. And then there's another room — or I think it was, actually, an attached garage or something — that has a bunch of very expensive art in it. What do you save?And the point of the experiment originally was you should, of course, save the family. And he was making the meta point that many people are donating to museums, instead of to malarial bed nets. I think now, a lot of effective altruists would answer it the other way, because the point is, well, if that art is worth $500,000 and you can turn that $500,000 into x number of malarial bed nets, that saves more than five lives. And so, of course, you need to do that. And I think that gets you into pretty dangerous territory. But I'm curious how you think about those questions."
2021-10-05,Holden Karnofsky,"I do agree that there can be this vibe coming out of when you read stuff in the effective altruist circles that kind of feels like it's doing this. It kind of feels like it's trying to be as weird as possible. It's being completely hardcore, uncompromising, wanting to use one consistent ethical framework wherever the heck it takes you. That's not really something I believe in. It's not something that Open Philanthropy or most of the people that I interact with as effective altruists tend to believe in. And so, what I believe in doing and what I like to do is to really deeply understand theoretical frameworks that can offer insight, that can open my mind, that I think give me the best shot I'm ever going to have at being ahead of the curve on ethics, at being someone whose decisions look good in hindsight instead of just following the norms of my time, which might look horrible and monstrous in hindsight. But I have limits to everything. Most of the people I know have limits to everything, and I do think that is how effective altruists usually behave in practice and certainly how I think they should."
2021-10-05,Ezra Klein,"What do you think the limit of that actual thought experiment is, of the just convert lives into money? You can save x number of lives for x number of money. And so if you get more money by getting the money as opposed to saving the lives, you should do it."
2021-10-05,Holden Karnofsky,"I think there's a lot of problems with that argument. And I could sort of go into them. So there's things about setting norms. There's things about following rules so that you don't want to be the kind of person who is constantly behaving in strange, unexpected ways and screwing over people around you because you've got this strange mathematical framework that's going on. So I think there's a bunch of things that are wrong with running in and saving the painting. But I think I also just want to endorse the meta principle of just saying, it's OK to have a limit. It's OK to stop. It's a reflective equilibrium game. So what I try to do is I try to entertain these rigorous philosophical frameworks. And sometimes it leads to me really changing my mind about something by really reflecting on, hey, if I did have to have a number on caring about animals versus caring about humans, what would it be?And just thinking about that, I've just kind of come around to thinking, I don't know what the number is, but I know that the way animals are treated on factory farms is just inexcusable. And it's just brought my attention to that. So I land on a lot of things that I end up being glad I thought about. And I think it helps widen my thinking, open my mind, make me more able to have unconventional thoughts. But it's also OK to just draw a line. I think it's OK to look at this art thing and say, that's too much. I'm not convinced. I'm not going there. And that's something I do every day."
2021-10-05,Ezra Klein,"We've been talking a lot here about how to value animals, but the other big worldview here is long-termism, which has to do with valuing future human lives. So tell me more about that worldview."
2021-10-05,Holden Karnofsky,"So the basic idea of that worldview is that if you can do something today that affects all of the future generations, then you have helped a truly mind numbing number of people. We don't know how many people. We don't know how many people will live in the future. But it could be an extremely large number. Most things that we can do today are not the kind of thing that we have any reason to believe will still matter a billion years from now. But some of them could be. Climate change could be. Climate change is an example of something that could really, in theory, could imaginatively knock humanity off course forever. And causing it to be less likely that this happens could be the kind of thing that matters for every future generation. And so, long-termism says there are all these people who don't have any voice today in the actions we're taking that affect them. And so, why don't we take the actions that will still matter a billion years from now? Because they'll have affected that many people, and maybe that's the way to do the most good."
